# bin1	bin2	angle	value
1.000000000000000000e+00 1.000000000000000000e+00 5.833333333333333703e-01 2.040897023697809190e-02
1.000000000000000000e+00 1.000000000000000000e+00 7.500000000000000000e-01 1.240843894710074412e-02
1.000000000000000000e+00 1.000000000000000000e+00 9.166666666666666297e-01 7.764414802528885225e-03
2.000000000000000000e+00 2.000000000000000000e+00 5.833333333333333703e-01 1.815231703425543297e-02
2.000000000000000000e+00 2.000000000000000000e+00 7.500000000000000000e-01 1.226420750857577097e-02
2.000000000000000000e+00 2.000000000000000000e+00 9.166666666666666297e-01 8.719901222223130910e-03
3.000000000000000000e+00 3.000000000000000000e+00 5.833333333333333703e-01 2.178753203371316602e-02
3.000000000000000000e+00 3.000000000000000000e+00 7.500000000000000000e-01 1.710596958107441640e-02
3.000000000000000000e+00 3.000000000000000000e+00 9.166666666666666297e-01 1.402817213354055383e-02
4.000000000000000000e+00 4.000000000000000000e+00 5.833333333333333703e-01 1.679259342128718718e-02
4.000000000000000000e+00 4.000000000000000000e+00 7.500000000000000000e-01 1.330836392977387261e-02
4.000000000000000000e+00 4.000000000000000000e+00 9.166666666666666297e-01 1.092859199042998768e-02
